Category: All categories

Month,data scientist: (United States),data analyst: (United States),data engineer: (United States),software engineer: (United States),computer scientist: (United States)
2013-03,4,8,1,23,2
2013-04,6,8,2,24,2
2013-05,5,8,2,23,2
2013-06,4,9,1,21,2
2013-07,3,9,2,22,2
2013-08,5,9,2,25,2
2013-09,6,9,2,24,2
2013-10,5,9,2,27,3
2013-11,4,8,2,24,2
2013-12,4,7,1,21,2
2014-01,5,10,2,27,3
2014-02,5,10,2,28,3
2014-03,6,11,2,27,3
2014-04,6,11,2,27,3
2014-05,6,10,3,28,3
2014-06,6,11,2,27,2
2014-07,6,11,2,26,2
2014-08,9,11,2,28,3
2014-09,10,12,3,31,3
2014-10,8,12,3,30,3
2014-11,7,10,2,26,3
2014-12,7,10,2,26,2
2015-01,9,13,3,31,2
2015-02,9,14,3,32,3
2015-03,9,14,3,32,3
2015-04,9,14,3,32,3
2015-05,9,13,3,32,3
2015-06,10,15,4,32,2
2015-07,9,15,3,32,2
2015-08,12,15,3,35,3
2015-09,13,14,4,38,4
2015-10,14,14,4,37,4
2015-11,10,13,3,30,3
2015-12,9,12,3,30,3
2016-01,14,14,3,32,3
2016-02,12,16,3,34,3
2016-03,12,16,4,31,3
2016-04,12,15,3,32,3
2016-05,12,15,3,32,3
2016-06,11,16,3,30,2
2016-07,10,15,3,30,2
2016-08,11,15,3,27,2
2016-09,13,16,4,34,3
2016-10,12,16,4,35,3
2016-11,12,15,4,34,4
2016-12,12,14,4,31,3
2017-01,15,19,5,36,3
2017-02,17,21,5,40,3
2017-03,16,20,5,39,3
2017-04,15,21,5,38,3
2017-05,17,19,6,38,3
2017-06,17,20,5,35,2
2017-07,16,21,6,38,2
2017-08,18,22,6,40,3
2017-09,19,22,6,43,3
2017-10,19,23,7,44,3
2017-11,17,20,6,40,3
2017-12,14,17,5,35,3
2018-01,19,22,6,37,3
2018-02,19,24,7,44,3
2018-03,20,24,7,49,3
2018-04,20,24,6,42,3
2018-05,20,24,7,41,3
2018-06,19,23,7,40,2
2018-07,20,25,8,42,2
2018-08,22,24,8,52,3
2018-09,23,25,8,60,4
2018-10,22,25,9,58,4
2018-11,19,23,7,48,3
2018-12,17,21,7,38,3
2019-01,23,27,9,53,3
2019-02,23,28,10,56,3
2019-03,21,25,9,53,3
2019-04,22,27,9,48,3
2019-05,23,28,10,52,3
2019-06,21,28,9,50,2
2019-07,20,26,9,48,2
2019-08,25,26,10,58,3
2019-09,26,28,10,63,4
2019-10,26,29,11,62,3
2019-11,20,26,9,53,3
2019-12,19,23,8,46,3
2020-01,21,29,10,59,3
2020-02,23,28,11,59,3
2020-03,18,23,8,43,3
2020-04,16,23,9,45,3
2020-05,19,25,10,50,3
2020-06,21,26,11,54,2
2020-07,21,28,11,54,2
2020-08,20,28,11,59,3
2020-09,25,28,11,64,5
2020-10,22,28,11,57,3
2020-11,17,23,8,45,2
2020-12,20,24,9,44,2
2021-01,20,26,10,51,3
2021-02,20,29,11,52,3
2021-03,20,28,11,53,3
2021-04,20,31,10,53,3
2021-05,20,28,12,54,2
2021-06,20,33,11,53,2
2021-07,19,32,12,57,2
2021-08,22,34,13,63,3
2021-09,21,33,13,72,3
2021-10,24,36,14,70,3
2021-11,23,36,14,67,3
2021-12,19,34,13,64,2
2022-01,29,48,18,83,3
2022-02,30,60,21,98,4
2022-03,28,61,20,100,4
2022-04,29,57,21,95,4
2022-05,28,56,20,89,4
2022-06,26,56,19,90,3
2022-07,27,55,18,83,3
2022-08,29,57,20,97,4
2022-09,30,58,21,100,5
2022-10,26,55,21,95,5
2022-11,25,55,19,87,4
2022-12,20,47,15,72,3
2023-01,26,62,19,88,4
2023-02,26,58,21,87,5
2023-03,26,64,20,83,4
2023-04,25,60,18,73,4
2023-05,28,59,18,78,4
2023-06,23,61,18,79,3
2023-07,22,60,19,82,2
2023-08,38,61,21,95,4
2023-09,32,61,21,96,5
2023-10,28,58,21,92,4
2023-11,24,51,19,87,4
2023-12,23,45,16,72,3
2024-01,25,57,20,85,3
